id,video_path,thumbnail_path,platforms,title,caption,hashtags_tiktok,hashtags_instagram,youtube_tags,scheduled_at,status,result,updated_at
v3-qt-focussession,video-generator/out/qt-focussession.mp4,video-generator/out/thumbnails/qt-focussession.png,instagram;youtube,3 tips for a focus session that actually sticks | ADHD Focus Session Tracker,"3 quick tips for a focus session that sticks: pick just one task, remove the easy exits, block one hour with no multitasking. All 3 built into this planner.

Link in bio.",adhdtips executivedysfunction adhdlife smallbusiness etsyshop adhdtiktok adhd adhdproblems adhdbrain adhdcheck,neurodivergent adhdwomen adhdplanner digitalplanner plannercommunity adhdtips executivedysfunction adhdlife adhdsupport smallbusinessowner,"ADHD, adhd focus planner, adhd pomodoro tracker, deep work planner, focus session tracker",2026-08-17T21:00:00+00:00,DONE,youtube:https://youtube.com/shorts/yyh5N2WTiFo; instagram:https://www.instagram.com/reel/DcMAk8ICl4p/,2026-08-18T18:10:23+02:00
v3-qt-screentime,video-generator/out/qt-screentime.mp4,video-generator/out/thumbnails/qt-screentime.png,instagram;youtube,3 tips to catch the scroll before it eats your day | Screen Time Reset,"3 quick tips to catch the scroll before it eats your day: feel for the phone reach, pause before you unlock it, log what you meant vs what happened. Link in bio.",etsyshop adhdtiktok adhd adhdproblems adhdbrain adhdcheck neurodivergent adhdwomen adhdplanner digitalplanner,plannercommunity adhdtips executivedysfunction adhdlife adhdsupport smallbusinessowner etsyseller printableplanner adhdcheck mentalhealthmatters,"ADHD, adhd screen time tracker, doomscrolling planner, screen time reset, phone habit tracker",2026-08-18T14:00:00+00:00,DONE,youtube:https://youtube.com/shorts/PNEvkRDkaBA; instagram:https://www.instagram.com/reel/DcMAsdLAN4U/,2026-08-18T18:11:27+02:00
v2-laundry,video-generator/out/laundry-reset.mp4,video-generator/out/thumbnails/laundry-reset.png,instagram;youtube,Break the laundry cycle for good | ADHD Laundry Reset (real app demo),"Break the laundry cycle into steps small enough to actually finish. Real screen recording of the actual planner in action — log what laundry ACTUALLY takes, check off the Weekly Laundry Grid, no more chair pile.

Shop the digital download — link in bio.",adhdtiktok adhd adhdproblems adhdbrain adhdcheck neurodivergent adhdwomen adhdplanner digitalplanner plannercommunity,adhd adhdawareness adhdproblems adhdbrain neurodivergent adhdwomen adhdplanner digitalplanner plannercommunity adhdtips,"ADHD, ADHD laundry planner, laundry chore checklist, laundry routine tracker, chore reset checklist",2026-08-18T18:00:00+00:00,DONE,youtube:https://youtube.com/shorts/JVV_-0KNWjg; instagram:https://www.instagram.com/reel/DcMNlkUDC13/,2026-08-18T20:04:18+02:00
v2-sleep,video-generator/out/sleep-wind-down.mp4,video-generator/out/thumbnails/sleep-wind-down.png,instagram;youtube,Wind down for real tonight | ADHD Sleep Wind-Down Planner (real app demo),"Wind down for real, even on nights your brain won't stop. Real screen recording: evening hour-by-hour blocks, the wind-down routine grid, and the 3am racing-thoughts reset.

Shop the digital download — link in bio.",adhdbrain adhdcheck neurodivergent adhdwomen adhdplanner digitalplanner plannercommunity adhdtips executivedysfunction adhdlife,adhdbrain neurodivergent adhdwomen adhdplanner digitalplanner plannercommunity adhdtips executivedysfunction adhdlife adhdsupport,"ADHD, adhd sleep planner, bedtime routine tracker, sleep hygiene checklist, wind down routine",2026-08-18T21:00:00+00:00,DONE,youtube:https://youtube.com/shorts/8BVomO92UvQ; instagram:https://www.instagram.com/reel/DcMiGz2glru/,2026-08-18T23:03:53+02:00
v2-bodydoubling,video-generator/out/body-doubling.mp4,video-generator/out/thumbnails/body-doubling.png,instagram;youtube,Working alongside someone actually works | Body Doubling Planner (real app demo),"Prove to yourself that working alongside someone actually works. Real screen recording: booking a Focusmate/Discord session, blocking today's co-working hours, logging the real gap between planned and actual focus time.

Shop the digital download — link in bio.",adhdwomen adhdplanner digitalplanner plannercommunity adhdtips executivedysfunction adhdlife smallbusiness etsyshop adhdtiktok,adhdplanner digitalplanner plannercommunity adhdtips executivedysfunction adhdlife adhdsupport smallbusinessowner etsyseller printableplanner,"ADHD, body doubling, coworking, focusmate, accountability partner, virtual coworking",2026-08-19T18:00:00,DONE,youtube:https://youtube.com/shorts/8zCy6Q2TY8Q; instagram:https://www.instagram.com/reel/DcOknXtAgSE/,2026-08-19T18:03:45+02:00
v2-emotionalreg,video-generator/out/emotional-regulation.mp4,video-generator/out/thumbnails/emotional-regulation.png,youtube,When feelings get bigger than the moment | Emotional Regulation Toolkit (real app demo),"A toolkit for the moment feelings get bigger than the situation. Real screen recording: naming the feeling, checking off today's regulation practices, the after-the-wave reset.

Shop the digital download — link in bio.",adhdlife smallbusiness etsyshop adhdtiktok adhd adhdproblems adhdbrain adhdcheck neurodivergent adhdwomen,adhdsupport smallbusinessowner etsyseller printableplanner adhdcheck mentalhealthmatters adhd adhdawareness adhdproblems adhdbrain,"ADHD, emotional regulation planner, adhd meltdown toolkit, emotional dysregulation tracker, coping skills planner",2026-08-19T20:00:00,DONE,youtube:https://youtube.com/shorts/XSYM8xSdc0s,2026-08-19T20:17:21+02:00
v2-focussession,video-generator/out/focus-session.mp4,video-generator/out/thumbnails/focus-session.png,instagram;youtube,Focus sessions your brain will finish | ADHD Focus Session Tracker (real app demo),"Solo focus sessions your brain will actually finish. Real screen recording: picking one task, blocking a focus hour, closing the session out properly instead of just... stopping.

Shop the digital download — link in bio.",adhdtiktok adhd adhdproblems adhdbrain adhdcheck neurodivergent adhdwomen adhdplanner digitalplanner plannercommunity,printableplanner adhdcheck mentalhealthmatters adhd adhdawareness adhdproblems adhdbrain neurodivergent adhdwomen adhdplanner,"ADHD, adhd focus planner, adhd pomodoro tracker, deep work planner, focus session tracker",2026-08-19T22:00:00,DONE,youtube:https://youtube.com/shorts/AIPoTicmMSk; instagram:https://www.instagram.com/reel/DcPABUrDzim/,2026-08-19T22:03:19+02:00
viral_01,11_VIRAL_REELS/viral_reel_01.mp4,11_VIRAL_REELS/thumbnails/viral_01.png,tiktok;instagram;youtube,You said five minutes. It's been forty five. | ADHD Time Blindness Planner,"You said five minutes. It's been forty five. 👇

The ADHD Time Blindness Planner is on Etsy right now — link in bio to grab yours.
Follow for more ADHD tools that actually get it.",fyp adhdplanner digitalplanner goodnotesplanner adhd adhdtiktok timeblindness adhdtime adhdproblems neurodivergent adhdcheck,fyp adhdplanner digitalplanner goodnotesplanner adhd adhdtiktok timeblindness adhdtime adhdproblems neurodivergent adhdcheck,"fyp, adhdplanner, digitalplanner, goodnotesplanner, adhd, adhdtiktok, timeblindness, adhdtime, adhdproblems, neurodivergent, adhdcheck",2026-08-19T23:00:00,PARTIAL,"youtube:https://youtube.com/shorts/68cQDYL5LHA; instagram:https://www.instagram.com/reel/DcPG7SNDUFH/; tiktok:ERROR:Inicjalizacja publikacji TikTok nie powiodla sie: {""error"":{""code"":""invalid_params"",""message"":""The total chunk count is invalid"",""log_id"":""20260819210341B49D2A01879495E1E938""}}",2026-08-19T23:03:42+02:00
viral_05,11_VIRAL_REELS/viral_reel_05.mp4,11_VIRAL_REELS/thumbnails/viral_05.png,instagram;youtube,"POV: she texted back ""ok."" With a period. Your brain instantly writes a whole tragic novel about...","POV: she texted back ""ok."" With a period. Your brain instantly writes a whole tragic novel about how she hates you now. 👇

The RSD Journal is on Etsy right now — link in bio to grab yours.
Follow for more ADHD tools that actually get it.",fyp adhdplanner digitalplanner goodnotesplanner adhd rsd rejectionsensitivedysphoria adhdtiktok adhdemotions neurodivergent adhdrelatable,fyp adhdplanner digitalplanner goodnotesplanner adhd rsd rejectionsensitivedysphoria adhdtiktok adhdemotions neurodivergent adhdrelatable,"fyp, adhdplanner, digitalplanner, goodnotesplanner, adhd, rsd, rejectionsensitivedysphoria, adhdtiktok, adhdemotions, neurodivergent, adhdrelatable",2026-08-21T21:00:00,DONE,youtube:https://youtube.com/shorts/3n2MasxM-sg; instagram:https://www.instagram.com/reel/DcUEm_9DRao/,2026-08-21T21:19:29+02:00
viral_09,11_VIRAL_REELS/viral_reel_09.mp4,11_VIRAL_REELS/thumbnails/viral_09.png,instagram;youtube,Three ways to stop losing your keys for good. One. | ADHD Object Finder Log,"Three ways to stop losing your keys for good. One. 👇

The ADHD Object Finder Log is on Etsy right now — link in bio to grab yours.
Follow for more ADHD tools that actually get it.",fyp adhdplanner digitalplanner goodnotesplanner adhd adhdtips organizationtips adhdtiktok lifehacks neurodivergent,fyp adhdplanner digitalplanner goodnotesplanner adhd adhdtips organizationtips adhdtiktok lifehacks neurodivergent,"fyp, adhdplanner, digitalplanner, goodnotesplanner, adhd, adhdtips, organizationtips, adhdtiktok, lifehacks, neurodivergent",2026-08-23T02:30:00,,,
viral_02,11_VIRAL_REELS/viral_reel_02.mp4,11_VIRAL_REELS/thumbnails/viral_02.png,tiktok;instagram;youtube,The task is easy. Starting it is impossible. | ADHD Executive Function Planner,"The task is easy. Starting it is impossible. 👇

The ADHD Executive Function Planner is on Etsy right now — link in bio to grab yours.
Follow for more ADHD tools that actually get it.",fyp adhdplanner digitalplanner goodnotesplanner adhd executivedysfunction taskparalysis adhdtiktok adhdbrain neurodivergent,fyp adhdplanner digitalplanner goodnotesplanner adhd executivedysfunction taskparalysis adhdtiktok adhdbrain neurodivergent,"fyp, adhdplanner, digitalplanner, goodnotesplanner, adhd, executivedysfunction, taskparalysis, adhdtiktok, adhdbrain, neurodivergent",2026-08-20T21:00:00,DONE,youtube:https://youtube.com/shorts/ECRvrfp-lCs; instagram:https://www.instagram.com/reel/DcRfD3VEz8p/; tiktok:SEND_TO_USER_INBOX,2026-08-20T21:13:23+02:00
viral_06,11_VIRAL_REELS/viral_reel_06.mp4,11_VIRAL_REELS/thumbnails/viral_06.png,instagram;youtube,POV: you've been standing in front of the open fridge for ten minutes. | ADHD Decision Fatigue Pl...,"POV: you've been standing in front of the open fridge for ten minutes. 👇

The ADHD Decision Fatigue Planner is on Etsy right now — link in bio to grab yours.
Follow for more ADHD tools that actually get it.",fyp adhdplanner digitalplanner goodnotesplanner adhd decisionfatigue adhdbrain adhdtiktok adhdrelatable neurodivergent,fyp adhdplanner digitalplanner goodnotesplanner adhd decisionfatigue adhdbrain adhdtiktok adhdrelatable neurodivergent,"fyp, adhdplanner, digitalplanner, goodnotesplanner, adhd, decisionfatigue, adhdbrain, adhdtiktok, adhdrelatable, neurodivergent",2026-08-22T02:30:00,DONE,youtube:https://youtube.com/shorts/bemjZ2-5iXo; instagram:https://www.instagram.com/reel/DcU6S3JARv1/,2026-08-22T05:08:35+02:00
viral_10,11_VIRAL_REELS/viral_reel_10.mp4,11_VIRAL_REELS/thumbnails/viral_10.png,instagram;youtube,Three chore hacks for ADHD kids that actually work. One. | ADHD Kids Chore Chart,"Three chore hacks for ADHD kids that actually work. One. 👇

The ADHD Kids Chore Chart is on Etsy right now — link in bio to grab yours.
Follow for more ADHD tools that actually get it.",fyp adhdplanner digitalplanner goodnotesplanner adhd adhdkids parentingtips adhdparenting chorechart neurodivergent momsoftiktok,fyp adhdplanner digitalplanner goodnotesplanner adhd adhdkids parentingtips adhdparenting chorechart neurodivergent momsoftiktok,"fyp, adhdplanner, digitalplanner, goodnotesplanner, adhd, adhdkids, parentingtips, adhdparenting, chorechart, neurodivergent, momsoftiktok",2026-08-23T15:30:00,,,
viral_03,11_VIRAL_REELS/viral_reel_03.mp4,11_VIRAL_REELS/thumbnails/viral_03.png,tiktok;instagram;youtube,Did you take your meds today? ...did you though? | ADHD Medication Tracker,"Did you take your meds today? ...did you though? 👇

The ADHD Medication Tracker is on Etsy right now — link in bio to grab yours.
Follow for more ADHD tools that actually get it.",fyp adhdplanner digitalplanner goodnotesplanner adhd adhdmeds adhdmedication adhdtiktok adhdcheck neurodivergent,fyp adhdplanner digitalplanner goodnotesplanner adhd adhdmeds adhdmedication adhdtiktok adhdcheck neurodivergent,"fyp, adhdplanner, digitalplanner, goodnotesplanner, adhd, adhdmeds, adhdmedication, adhdtiktok, adhdcheck, neurodivergent",2026-08-21T02:30:00,PARTIAL,"youtube:https://youtube.com/shorts/L3B2XT0CJz8; instagram:https://www.instagram.com/reel/DcSYRd-CYA6/; tiktok:ERROR:Inicjalizacja publikacji TikTok nie powiodla sie: {""error"":{""code"":""unaudited_client_can_only_post_to_private_accounts"",""message"":""Please review our integration guidelines at https://developers.tiktok.com/doc/content-sharing-guidelines/"",""log_id"":""2026082103324986D68C8B23E156CAF8C7""}}",2026-08-21T05:32:50+02:00
viral_07,11_VIRAL_REELS/viral_reel_07.mp4,11_VIRAL_REELS/thumbnails/viral_07.png,instagram;youtube,"POV: it's 3am, and you now know more about vacuum cleaners than the people who sell them. | ADHD...","POV: it's 3am, and you now know more about vacuum cleaners than the people who sell them. 👇

The ADHD Hyperfixation Journal is on Etsy right now — link in bio to grab yours.
Follow for more ADHD tools that actually get it.",fyp adhdplanner digitalplanner goodnotesplanner adhd hyperfixation specialinterest adhdtiktok adhdrelatable neurodivergent adhdhumor,fyp adhdplanner digitalplanner goodnotesplanner adhd hyperfixation specialinterest adhdtiktok adhdrelatable neurodivergent adhdhumor,"fyp, adhdplanner, digitalplanner, goodnotesplanner, adhd, hyperfixation, specialinterest, adhdtiktok, adhdrelatable, neurodivergent, adhdhumor",2026-08-22T15:30:00,,,
viral_11,11_VIRAL_REELS/viral_reel_11.mp4,11_VIRAL_REELS/thumbnails/viral_11.png,instagram;youtube,Three ways to actually remember to eat with ADHD. One. | ADHD Eating & Hydration Tracker,"Three ways to actually remember to eat with ADHD. One. 👇

The ADHD Eating & Hydration Tracker is on Etsy right now — link in bio to grab yours.
Follow for more ADHD tools that actually get it.",fyp adhdplanner digitalplanner goodnotesplanner adhd adhdeating hydrationcheck adhdtips adhdtiktok neurodivergent,fyp adhdplanner digitalplanner goodnotesplanner adhd adhdeating hydrationcheck adhdtips adhdtiktok neurodivergent,"fyp, adhdplanner, digitalplanner, goodnotesplanner, adhd, adhdeating, hydrationcheck, adhdtips, adhdtiktok, neurodivergent",2026-08-23T21:00:00,,,
viral_04,11_VIRAL_REELS/viral_reel_04.mp4,11_VIRAL_REELS/thumbnails/viral_04.png,tiktok;instagram;youtube,"""Just five minutes on TikTok."" That was two hours ago. The scroll isn't a willpower failure, it's...","""Just five minutes on TikTok."" That was two hours ago. The scroll isn't a willpower failure, it's a dopamine trap built by people paid to keep you there. 👇

The ADHD Doomscrolling & Screen Time Reset is on Etsy right now — link in bio to grab yours.
Follow for more ADHD tools that actually get it.",fyp adhdplanner digitalplanner goodnotesplanner adhd doomscrolling screentime adhdtiktok phoneaddiction neurodivergent,fyp adhdplanner digitalplanner goodnotesplanner adhd doomscrolling screentime adhdtiktok phoneaddiction neurodivergent,"fyp, adhdplanner, digitalplanner, goodnotesplanner, adhd, doomscrolling, screentime, adhdtiktok, phoneaddiction, neurodivergent",2026-08-21T15:30:00,PARTIAL,"youtube:https://youtube.com/shorts/8-j_ennTG7A; instagram:https://www.instagram.com/reel/DcTeNeNCGJ0/; tiktok:ERROR:Inicjalizacja publikacji TikTok nie powiodla sie: {""error"":{""code"":""unaudited_client_can_only_post_to_private_accounts"",""message"":""Please review our integration guidelines at https://developers.tiktok.com/doc/content-sharing-guidelines/"",""log_id"":""202608211344150B4BD15F9BD0969C7641""}}",2026-08-21T15:44:16+02:00
viral_08,11_VIRAL_REELS/viral_reel_08.mp4,11_VIRAL_REELS/thumbnails/viral_08.png,instagram;youtube,"POV: alone, task open for three hours, zero progress. One Discord call later, with a total strang...","POV: alone, task open for three hours, zero progress. One Discord call later, with a total stranger just existing on camera, and it's done in twenty minutes. 👇

The Body Doubling Planner is on Etsy right now — link in bio to grab yours.
Follow for more ADHD tools that actually get it.",fyp adhdplanner digitalplanner goodnotesplanner adhd bodydoubling coworking adhdtiktok adhdrelatable neurodivergent focustips,fyp adhdplanner digitalplanner goodnotesplanner adhd bodydoubling coworking adhdtiktok adhdrelatable neurodivergent focustips,"fyp, adhdplanner, digitalplanner, goodnotesplanner, adhd, bodydoubling, coworking, adhdtiktok, adhdrelatable, neurodivergent, focustips",2026-08-22T21:00:00,,,
viral_12,11_VIRAL_REELS/viral_reel_12.mp4,11_VIRAL_REELS/thumbnails/viral_12.png,instagram;youtube,Three tips to actually fall asleep with an ADHD brain. One. | ADHD Sleep & Wind-Down Planner,"Three tips to actually fall asleep with an ADHD brain. One. 👇

The ADHD Sleep & Wind-Down Planner is on Etsy right now — link in bio to grab yours.
Follow for more ADHD tools that actually get it.",fyp adhdplanner digitalplanner goodnotesplanner adhd adhdsleep sleeptok insomniahacks adhdtiktok neurodivergent,fyp adhdplanner digitalplanner goodnotesplanner adhd adhdsleep sleeptok insomniahacks adhdtiktok neurodivergent,"fyp, adhdplanner, digitalplanner, goodnotesplanner, adhd, adhdsleep, sleeptok, insomniahacks, adhdtiktok, neurodivergent",2026-08-24T02:30:00,,,
viral_13,11_VIRAL_REELS/viral_reel_13.mp4,11_VIRAL_REELS/thumbnails/viral_13.png,instagram;youtube,"Showering feels like a whole project today, so it just doesn't happen. | ADHD Self-Care & Hygiene...","Showering feels like a whole project today, so it just doesn't happen. 👇

The ADHD Self-Care & Hygiene Tracker is on Etsy right now — link in bio to grab yours.
Follow for more ADHD tools that actually get it.",fyp adhdplanner digitalplanner goodnotesplanner adhd adhdselfcare hygienetok adhdhygiene executivedysfunction neurodivergent,fyp adhdplanner digitalplanner goodnotesplanner adhd adhdselfcare hygienetok adhdhygiene executivedysfunction neurodivergent,"fyp, adhdplanner, digitalplanner, goodnotesplanner, adhd, adhdselfcare, hygienetok, adhdhygiene, executivedysfunction, neurodivergent",2026-08-24T15:30:00,,,
viral_21,11_VIRAL_REELS/viral_reel_21.mp4,11_VIRAL_REELS/thumbnails/viral_21.png,instagram;youtube,"POV: someone changed the plan by ten minutes, and your whole nervous system just declared a state...","POV: someone changed the plan by ten minutes, and your whole nervous system just declared a state of emergency. 👇

The ADHD Emotional Regulation Toolkit is on Etsy right now — link in bio to grab yours.
Follow for more ADHD tools that actually get it.",fyp adhdplanner digitalplanner goodnotesplanner adhd emotionaldysregulation adhdmeltdown adhdemotions neurodivergent adhdrelatable,fyp adhdplanner digitalplanner goodnotesplanner adhd emotionaldysregulation adhdmeltdown adhdemotions neurodivergent adhdrelatable,"fyp, adhdplanner, digitalplanner, goodnotesplanner, adhd, emotionaldysregulation, adhdmeltdown, adhdemotions, neurodivergent, adhdrelatable",2026-08-27T02:30:00,,,
viral_29,11_VIRAL_REELS/viral_reel_29.mp4,11_VIRAL_REELS/thumbnails/viral_29.png,instagram;youtube,"Three ways to actually finish the laundry, not just start it. | ADHD Laundry Reset","Three ways to actually finish the laundry, not just start it. 👇

The ADHD Laundry Reset is on Etsy right now — link in bio to grab yours.
Follow for more ADHD tools that actually get it.",fyp adhdplanner digitalplanner goodnotesplanner adhd adhdlaundry choretips adhdhacks cleaningtok neurodivergent,fyp adhdplanner digitalplanner goodnotesplanner adhd adhdlaundry choretips adhdhacks cleaningtok neurodivergent,"fyp, adhdplanner, digitalplanner, goodnotesplanner, adhd, adhdlaundry, choretips, adhdhacks, cleaningtok, neurodivergent",2026-08-29T21:00:00,,,
